lab_id,latitude,longitude,field_ref,ph,ec,n_pct ,oc_pct,ca,mg,k,p_ppm,fe,zn,mn,cu,cec
1A,-0.06601,34.81588,KS-1 0-30,5.83,0.10,0.11,1.48,1.49,4.43,0.62,4.6,41.82,1.28,128.0,1.11,7.7
2A,-0.03184,34.62037,KS-3 0-30,5.63,0.16,0.18,1.52,1.66,4.36,0.30,22.2,22.64,2.31,127.2,1.01,7.9
3A,-0.08733,34.61657,KS-4 0-30,6.5,0.14,0.20,1.73,4.37,4.60,0.80,3.8,105.7,2.11,130.4,0.84,12.3
4A,-0.07499,34.66307,KS-5 0-30,5.48,0.04,0.14,1.18,1.02,4.13,0.42,137.6,52.65,1.96,131.3,1.18,7.9
5A,-0.04002,34.67052,KS-6 0-30,5.47,0.09,0.21,1.68,2.21,3.60,0.72,16.2,18.2,1.25,95.5,0.84,8.1
6A,-0.05993,34.75884,KS-9 0-30,5.58,0.07,0.18,1.59,3.35,4.90,1.06,3.3,3.76,1.96,196.9,0.92,10.8
7A,-0.04165,34.75079,KS -10 0-30,5.44,0.08,0.26,2.30,1.89,2.50,0.94,2.5,11.24,2.15,166.9,0.67,6.9
7B,-0.04165,34.75079,KS-10 30-60,6.1,0.15,0.19,1.81,2.85,3.93,0.72,16.2,46.26,2.34,41.9,0.42,9.3
8A,-0.06242,34.79711,KS-11 0-30,5.69,0.10,0.20,1.29,1.72,2.54,0.42,5.5,12.8,1.38,74.8,0.92,6.6
9A,-0.0287,34.80057,KS-12 0-30,5.4,0.18,0.16,1.58,1.94,3.57,0.39,13.5,210.59,4.64,162.4,0.67,7.6
10A,-0.11266,34.9463,KS-13 0-30,5.5,0.22,0.24,1.96,3.12,4.69,0.96,4.3,35.13,1.55,92.2,1.60,10.3
10B,-0.11266,34.9463,KS-13 30-60,6.01,0.19,0.20,1.28,2.58,4.67,0.98,2.5,76.44,2.25,106.9,0.92,10.0
11A,-0.12115,34.97514,KS -14 0-30,6.24,0.14,0.16,1.35,4.48,4.95,0.91,106.5,73.91,2.14,147.2,1.18,11.9
12A,-0.05278,34.94984,KS -15 0-30,6.29,0.09,0.18,1.25,2.40,3.95,0.36,11.7,45.2,2.23,96.2,0.92,8.5
12B,-0.05278,34.94985,KS -1 30-60,6.44,0.10,0.17,1.14,2.65,4.69,0.41,4.2,50.1,2.47,61.4,1.01,9.2
13A,-0.05278,34.94985,KS-16 0-30,6.03,0.07,0.14,1.19,1.40,3.30,0.32,3.8,96.6,1.96,42.5,0.92,6.7
14A,-0.08731,35.12304,KS-18 0-30,5.8,0.08,0.22,1.85,2.33,4.72,0.75,3.2,112.04,2.01,117.6,1.26,9.0
15A,-0.06941,35.09231,KS-19 0-30,6.11,0.09,0.18,2.06,3.40,4.98,0.87,13.5,111.95,1.95,123.2,1.34,10.7
15B,-0.06941,35.09231,KS-19 30-60,6.06,0.01,0.22,2.21,3.65,4.96,0.71,11.4,104.31,2.41,129.1,0.76,11.2
